census_block_id	category	sub_category	value	devices	sub_category_sort_order	unit
060290065001	Population	Median Age	40.4	1	2	people
060290065001	Age	<18	0.2132	1	1	percent
060290065001	Age	18-24	0.0481	1	2	percent
060290065001	Age	25-34	0.2217	1	3	percent
060290065001	Age	35-44	0.084	1	4	percent
060290065001	Age	45-54	0.1406	1	5	percent
060290065001	Age	55-64	0.1538	1	6	percent
060290065001	Age	65+	0.1387	1	7	percent
060290065001	Economic	Median HH Income	56726.0	1	1	dollar
060290065001	Economic	Median Home Value	77400.0	1	2	dollar
060290065001	Education	No HS	0.0702	1	1	percent
060290065001	Education	HS	0.3563	1	2	percent
060290065001	Education	Some College/2 Year	0.4163	1	3	percent
060290065001	Education	Bachelor	0.0843	1	4	percent
060290065001	Education	Higher Degree	0.0728	1	5	percent
060290065001	Income	0-29K	0.321	1	1	percent
060290065001	Income	30-74K	0.3905	1	2	percent
060290065001	Income	75-99K	0.1323	1	3	percent
060290065001	Income	100-149K	0.1367	1	4	percent
060290065001	Income	150K+	0.0195	1	5	percent
060290065001	Race	African American	0.0896	1	1	percent
060290065001	Race	Asian	0.0349	1	2	percent
060290065001	Race	Hispanic	0.1811	1	3	percent
060290065001	Race	Other or Mixed	0.2396	1	4	percent
060290065001	Race	White	0.4547	1	5	percent
060372190203	Population	Population	1372	1	1	people
060372190203	Population	Median Age	45.6	1	2	people
060372190203	Age	<18	0.1655	1	1	percent
060372190203	Age	18-24	0.1057	1	2	percent
060372190203	Age	25-34	0.1276	1	3	percent
060372190203	Age	35-44	0.0897	1	4	percent
060372190203	Age	45-54	0.2216	1	5	percent
060372190203	Age	55-64	0.1159	1	6	percent
060372190203	Age	65+	0.1742	1	7	percent
060372190203	Economic	Median HH Income	66813.0	1	1	dollar
060372190203	Economic	Median Home Value	668300.0	1	2	dollar
060372190203	Education	No HS	0.374	1	1	percent
060372190203	Education	HS	0.273	1	2	percent
060372190203	Education	Some College/2 Year	0.255	1	3	percent
060372190203	Education	Bachelor	0.023	1	4	percent
060372190203	Education	Higher Degree	0.075	1	5	percent
060372190203	Income	0-29K	0.2116	1	1	percent
060372190203	Income	30-74K	0.3304	1	2	percent
060372190203	Income	75-99K	0.0696	1	3	percent
060372190203	Income	100-149K	0.2232	1	4	percent
060372190203	Income	150K+	0.1652	1	5	percent
060372190203	Race	African American	0.2682	1	1	percent
060372190203	Race	Asian	0.0146	1	2	percent
060372190203	Race	Hispanic	0.6727	1	3	percent
060372190203	Race	Other or Mixed	0.0	1	4	percent
060372190203	Race	White	0.0445	1	5	percent
060375042002	Population	Population	1615	1	1	people
060375042002	Population	Median Age	39.0	1	2	people
060375042002	Age	<18	0.1455	1	1	percent
060375042002	Age	18-24	0.1022	1	2	percent
060375042002	Age	25-34	0.1926	1	3	percent
060375042002	Age	35-44	0.1542	1	4	percent
060375042002	Age	45-54	0.2056	1	5	percent
060375042002	Age	55-64	0.0402	1	6	percent
060375042002	Age	65+	0.1598	1	7	percent
060375042002	Economic	Median HH Income	94821.0	1	1	dollar
060375042002	Economic	Median Home Value	589100.0	1	2	dollar
060375042002	Education	No HS	0.2321	1	1	percent
060375042002	Education	HS	0.3407	1	2	percent
060375042002	Education	Some College/2 Year	0.2856	1	3	percent
060375042002	Education	Bachelor	0.0938	1	4	percent
060375042002	Education	Higher Degree	0.0477	1	5	percent
060375042002	Income	0-29K	0.08	1	1	percent
060375042002	Income	30-74K	0.3114	1	2	percent
060375042002	Income	75-99K	0.1629	1	3	percent
060375042002	Income	100-149K	0.1657	1	4	percent
060375042002	Income	150K+	0.28	1	5	percent
060375042002	Race	African American	0.0303	1	1	percent
060375042002	Race	Asian	0.0471	1	2	percent
060375042002	Race	Hispanic	0.8211	1	3	percent
060375042002	Race	Other or Mixed	0.0241	1	4	percent
060375042002	Race	White	0.0774	1	5	percent
060375752012	Population	Population	1813	1	1	people
060375752012	Population	Median Age	31.4	1	2	people
060375752012	Age	<18	0.3238	1	1	percent
060375752012	Age	18-24	0.102	1	2	percent
060375752012	Age	25-34	0.1826	1	3	percent
060375752012	Age	35-44	0.1098	1	4	percent
060375752012	Age	45-54	0.1401	1	5	percent
060375752012	Age	55-64	0.0408	1	6	percent
060375752012	Age	65+	0.1009	1	7	percent
060375752012	Economic	Median HH Income	50882.0	1	1	dollar
060375752012	Economic	Median Home Value	455300.0	1	2	dollar
060375752012	Education	No HS	0.4659	1	1	percent
060375752012	Education	HS	0.1691	1	2	percent
060375752012	Education	Some College/2 Year	0.3093	1	3	percent
060375752012	Education	Bachelor	0.0557	1	4	percent
060375752012	Education	Higher Degree	0.0	1	5	percent
060375752012	Income	0-29K	0.18	1	1	percent
060375752012	Income	30-74K	0.6425	1	2	percent
060375752012	Income	75-99K	0.025	1	3	percent
060375752012	Income	100-149K	0.08	1	4	percent
060375752012	Income	150K+	0.0725	1	5	percent
060375752012	Race	African American	0.0612	1	1	percent
060375752012	Race	Asian	0.348	1	2	percent
060375752012	Race	Hispanic	0.5654	1	3	percent
060375752012	Race	Other or Mixed	0.0	1	4	percent
060375752012	Race	White	0.0254	1	5	percent
060450101002	Population	Population	728	1	1	people
060450101002	Population	Median Age	39.8	1	2	people
060450101002	Age	<18	0.2294	1	1	percent
060450101002	Age	18-24	0.1126	1	2	percent
060450101002	Age	25-34	0.0907	1	3	percent
060450101002	Age	35-44	0.1415	1	4	percent
060450101002	Age	45-54	0.1058	1	5	percent
060450101002	Age	55-64	0.1319	1	6	percent
060450101002	Age	65+	0.1882	1	7	percent
060450101002	Economic	Median HH Income	48333.0	1	1	dollar
060450101002	Economic	Median Home Value	322700.0	1	2	dollar
060450101002	Education	No HS	0.0919	1	1	percent
060450101002	Education	HS	0.4363	1	2	percent
060450101002	Education	Some College/2 Year	0.3111	1	3	percent
060450101002	Education	Bachelor	0.1524	1	4	percent
060450101002	Education	Higher Degree	0.0084	1	5	percent
060450101002	Income	0-29K	0.2645	1	1	percent
060450101002	Income	30-74K	0.5	1	2	percent
060450101002	Income	75-99K	0.095	1	3	percent
060450101002	Income	100-149K	0.1157	1	4	percent
060450101002	Income	150K+	0.0248	1	5	percent
060450101002	Race	African American	0.0055	1	1	percent
